@relation BOOKKEEPER_B

@attribute nAuth numeric
@attribute methodHistories numeric
@attribute loc numeric
@attribute fanin numeric
@attribute fanout numeric
@attribute wmc numeric
@attribute returns numeric
@attribute loops numeric
@attribute comparison numeric
@attribute maxNested numeric
@attribute math numeric
@attribute smells numeric
@attribute buggy {yes,no}

@data
"1","1","6","0","0","2","2","0","0","1","0","0","no"
"0","0","3","1","0","1","0","0","0","0","0","0","no"
"1","1","14","0","0","3","1","0","1","2","0","0","no"
"3","3","57","0","0","16","1","2","4","4","11","0","no"
"0","0","3","0","0","1","1","0","0","0","0","0","no"
"1","1","24","0","0","5","1","1","2","2","3","0","no"
"0","0","6","0","0","1","0","0","0","0","0","0","no"
"2","2","19","2","1","3","3","0","2","2","0","0","no"
"1","1","15","2","2","3","0","1","1","1","2","0","no"
"0","0","40","0","1","7","1","0","4","1","8","0","no"
"1","1","8","0","0","1","1","0","0","1","0","0","no"
"3","3","51","1","1","10","0","2","2","4","8","0","no"
"1","1","5","1","0","2","0","0","1","1","0","0","no"
"2","2","13","0","1","2","1","0","0","1","2","0","no"
"1","1","16","1","0","2","0","0","0","2","1","0","no"
"1","1","9","2","0","3","1","1","0","2","2","0","no"
"1","1","27","1","0","5","4","0","0","2","0","0","yes"
"0","0","15","0","2","3","0","1","0","2","1","0","no"
"1","1","7","0","0","2","1","0","0","1","1","0","yes"
"1","1","6","0","0","2","0","0","1","1","0","0","yes"
"0","0","3","0","0","1","1","0","0","0","0","0","no"
"2","2","11","0","0","4","0","0","1","2","0","0","yes"
"1","1","12","2","0","3","1","1","0","2","0","0","yes"
"1","1","3","0","0","1","0","0","0","0","0","0","no"
"1","1","18","0","1","4","2","0","3","1","1","0","yes"
"2","2","3","0","1","1","1","0","0","0","1","0","no"
"0","0","12","0","0","2","0","0","1","1","0","0","no"
"1","1","20","0","0","4","1","1","0","3","3","0","yes"
"1","1","12","0","0","3","0","0","1","1","3","0","yes"
"0","0","16","0","1","2","0","0","0","1","5","0","no"
"1","1","21","2","1","4","0","0","1","2","1","0","yes"
"4","4","52","2","1","12","2","3","2","5","2","0","yes"
"1","1","3","1","0","1","1","0","0","0","0","0","no"
"0","0","22","0","1","2","0","0","0","1","1","0","no"
"3","3","26","1","0","8","1","2","3","2","12","0","no"
"3","3","20","0","4","3","1","0","2","3","3","0","no"
