@relation BOOKKEEPER_C

@attribute nAuth numeric
@attribute methodHistories numeric
@attribute loc numeric
@attribute fanin numeric
@attribute fanout numeric
@attribute wmc numeric
@attribute returns numeric
@attribute loops numeric
@attribute comparison numeric
@attribute maxNested numeric
@attribute math numeric
@attribute smells numeric
@attribute buggy {yes,no}

@data
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","1","1","1","0","0","0","0","0","0","no"
"3","3","11","0","1","2","0","0","0","1","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","2","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","2","0","0","1","0","0","0","0","0","0","no"
"1","1","3","0","1","1","0","0","0","0","0","0","no"
"2","2","3","0","0","1","1","0","0","0","0","0","no"
"2","2","3","0","0","1","1","0","0","0","0","0","no"
"2","2","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"0","0","3","0","0","1","1","0","0","0","0","0","no"
"1","1","2","0","0","1","0","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","yes"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","1","0","no"
"1","1","3","0","0","1","1","0","0","0","1","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","yes"
"1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","22","0","1","1","0","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"0","0","4","0","0","1","0","0","0","0","0","0","no"
"1","1","3","1","0","1","1","0","0","0","0","0","no"
"2","2","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","1","10","1","0","3","0","0","1","2","0","0","no"
"1","1","2","0","0","1","0","0","0","0","0","0","no"
"1","1","3","0","1","1","0","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","0","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"2","2","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","11","0","0","1","1","0","0","0","0","0","no"
"1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","1","8","0","0","2","1","0","0","1","0","0","no"
"0","0","8","0","0","2","0","0","0","1","0","0","no"
"0","0","3","0","1","1","1","0","0","0","0","0","no"
"0","0","4","0","1","1","0","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","1","1","1","0","0","0","0","0","no"
"1","1","3","0","1","1","1","0","0","0","0","0","no"
"0","0","3","0","1","1","1","0","0","0","0","0","no"
"0","0","5","0","3","1","0","0","0","0","0","0","no"
"1","1","6","0","1","2","1","0","1","1","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","6","1","1","2","1","0","1","1","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","7","0","0","2","1","0","1","0","5","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"2","2","3","0","0","1","1","0","0","0","1","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","6","0","0","2","1","0","1","1","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"0","0","4","0","1","1","0","0","0","0","0","0","no"
"1","1","8","0","0","2","1","0","1","1","0","0","no"
"0","0","15","0","0","4","3","0","1","2","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"2","2","3","1","1","1","0","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"2","2","17","0","1","1","0","0","0","0","0","0","no"
"2","2","17","0","1","1","0","0","0","0","0","0","no"
"2","2","16","0","1","1","0","0","0","0","0","0","no"
"0","0","3","0","0","1","1","0","0","0","0","0","no"
"0","0","3","0","0","1","1","0","0","0","0","0","no"
"0","0","3","0","0","1","1","0","0","0","0","0","no"
"0","0","2","0","0","1","0","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"0","0","2","2","0","1","0","0","0","0","0","0","no"
"1","1","7","0","0","2","0","0","0","1","0","0","no"
"2","2","13","1","0","1","0","0","0","0","0","0","no"
"1","1","3","0","0","1","0","0","0","0","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"2","2","24","0","0","5","1","0","0","1","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"2","2","10","0","0","2","0","0","0","1","0","0","no"
"1","1","3","0","0","1","1","0","0","0","0","0","no"
"0","0","3","0","2","1","1","0","0","0","0","0","no"
"0","0","1","0","0","1","0","0","0","0","0","0","no"
"0","0","1","0","0","1","0","0","0","0","0","0","no"
"0","0","1","0","0","1","0","0","0","0","0","0","no"
"0","0","1","0","0","1","0","0","0","0","0","0","no"
