#,Version,fileName,methodName,nAuth,methodHistories,loc,fain,fanout,wmc,returns,loops,comparison,maxNested,math,smells,buggy
"1","4.0.0","Bookie.java","accept","1","1","6","0","0","2","2","0","0","1","0","7","no"
"1","4.0.0","BookieException.java","BookieUnauthorizedAccessException","0","0","3","1","0","1","0","0","0","0","0","1","no"
"1","4.0.0","BufferedChannel.java","flush","1","1","14","0","0","3","1","0","1","2","0","2","no"
"1","4.0.0","BufferedChannel.java","read","3","3","57","0","0","16","1","2","4","4","11","18","no"
"1","4.0.0","BufferedChannel.java","getFileChannel","0","0","3","0","0","1","1","0","0","0","0","1","no"
"1","4.0.0","BufferedChannel.java","write","1","1","24","0","0","5","1","1","2","2","3","3","no"
"1","4.0.0","BufferedChannel.java","BufferedChannel","0","0","6","0","0","1","0","0","0","0","0","4","no"
"1","4.0.0","EntryLogger.java","getChannelForLogId","2","2","19","2","1","3","3","0","2","2","0","7","no"
"1","4.0.0","EntryLogger.java","createLogId","1","1","15","2","2","3","0","1","1","1","2","5","no"
"1","4.0.0","EntryLogger.java","readEntry","0","0","40","0","1","7","1","0","4","1","8","27","no"
"1","4.0.0","EntryLogger.java","testAndClearSomethingWritten","1","1","8","0","0","1","1","0","0","1","0","2","no"
"1","4.0.0","EntryLogger.java","extractLedgersFromEntryLogs","3","3","51","1","1","10","0","2","2","4","8","23","no"
"1","4.0.0","EntryLogger.java","flush","1","1","5","1","0","2","0","0","1","1","0","2","no"
"1","4.0.0","EntryLogger.java","addEntry","2","2","13","0","1","2","1","0","0","1","2","8","no"
"1","4.0.0","EntryLogger.java","setLastLogId","1","1","16","1","0","2","0","0","0","2","1","8","no"
"1","4.0.0","EntryLogger.java","findFile","1","1","9","2","0","3","1","1","0","2","2","5","no"
"1","4.0.0","EntryLogger.java","getLastLogId","1","1","27","1","0","5","4","0","0","2","0","13","yes"
"1","4.0.0","EntryLogger.java","EntryLogger","0","0","15","0","2","3","0","1","0","2","1","4","no"
"1","4.0.0","FileInfo.java","size","1","1","7","0","0","2","1","0","0","1","1","2","yes"
"1","4.0.0","FileInfo.java","close","1","1","6","0","0","2","0","0","1","1","0","2","yes"
"1","4.0.0","FileInfo.java","getFile","0","0","3","0","0","1","1","0","0","0","0","1","no"
"1","4.0.0","FileInfo.java","release","2","2","11","0","0","4","0","0","1","2","0","2","yes"
"1","4.0.0","FileInfo.java","readAbsolute","1","1","12","2","0","3","1","1","0","2","0","5","yes"
"1","4.0.0","FileInfo.java","use","1","1","3","0","0","1","0","0","0","0","0","2","no"
"1","4.0.0","FileInfo.java","readMasterKey","1","1","18","0","1","4","2","0","3","1","1","9","yes"
"1","4.0.0","FileInfo.java","read","2","2","3","0","1","1","1","0","0","0","1","5","no"
"1","4.0.0","FileInfo.java","FileInfo","0","0","12","0","0","2","0","0","1","1","0","4","no"
"1","4.0.0","FileInfo.java","write","1","1","20","0","0","4","1","1","0","3","3","7","yes"
"1","4.0.0","FileInfo.java","writeMasterKey","1","1","12","0","0","3","0","0","1","1","3","6","yes"
"1","4.0.0","LedgerCache.java","LedgerCache","0","0","16","0","1","2","0","0","0","1","5","5","no"
"1","4.0.0","LedgerCache.java","updatePage","1","1","21","2","1","4","0","0","1","2","1","3","yes"
"1","4.0.0","LedgerCache.java","grabCleanPage","4","4","52","2","1","12","2","3","2","5","2","30","yes"
"1","4.0.0","LedgerCache.java","pickDirs","1","1","3","1","0","1","1","0","0","0","0","3","no"
"1","4.0.0","LedgerCache.java","deleteLedger","0","0","22","0","1","2","0","0","0","1","1","8","no"
"1","4.0.0","LedgerCache.java","writeBuffers","3","3","26","1","0","8","1","2","3","2","12","13","no"
"1","4.0.0","LedgerCache.java","getEntryOffset","3","3","20","0","4","3","1","0","2","3","3","5","no"
"1","4.0.0","LedgerCache.java","putIntoTable","1","1","8","2","0","2","0","0","1","1","0","4","no"
