#,Version,fileName,methodName,nAuth,methodHistories,loc,fain,fanout,wmc,returns,loops,comparison,maxNested,math,smells,buggy
"1","4.0.0","BufferedChannel.java","position","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","BufferedChannel.java","size","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","EntryLogger.java","openNewChannel","1","1","3","1","1","1","0","0","0","0","0","0","no"
"1","4.0.0","EntryLogger.java","shutdown","3","3","11","0","1","2","0","0","0","1","0","0","no"
"1","4.0.0","LedgerCache.java","getEntriesPerPage","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","LedgerCache.java","getPageSize","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","LedgerDescriptor.java","getLedgerId","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","LedgerEntryPage.java","hashCode","1","1","3","0","2","1","1","0","0","0","0","0","no"
"1","4.0.0","MarkerFileChannel.java","size","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","MarkerFileChannel.java","implCloseChannel","1","1","2","0","0","1","0","0","0","0","0","0","no"
"1","4.0.0","BookieWatcher.java","safeRun","1","1","3","0","1","1","0","0","0","0","0","0","no"
"1","4.0.0","LedgerEntry.java","getLength","2","2","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","LedgerEntry.java","getLedgerId","2","2","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","LedgerEntry.java","getEntryId","2","2","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","LedgerMetadata.java","getZnodeVersion","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","LedgerMetadata.java","getEnsembles","0","0","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","ReadOnlyLedgerHandle.java","close","1","1","2","0","0","1","0","0","0","0","0","0","no"
"1","4.0.0","AbstractConfiguration.java","getZkLedgersRootPath","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","AbstractConfiguration.java","getLedgerManagerType","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","ClientConfiguration.java","getZkServers","1","1","3","0","0","1","1","0","0","0","0","0","yes"
"1","4.0.0","ClientConfiguration.java","getBookieRecoveryPasswd","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","ClientConfiguration.java","getThrottleValue","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","ServerConfiguration.java","getGcWaitTime","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","ServerConfiguration.java","getPageLimit","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","ServerConfiguration.java","getPageSize","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","ServerConfiguration.java","getMaxBackupJournals","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","ServerConfiguration.java","getFlushInterval","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","ServerConfiguration.java","getEntryLogSizeLimit","1","1","3","0","0","1","1","0","0","0","1","0","no"
"1","4.0.0","ServerConfiguration.java","getMaxJournalSize","1","1","3","0","0","1","1","0","0","0","1","0","no"
"1","4.0.0","ServerConfiguration.java","getBookiePort","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","ServerConfiguration.java","getZkServers","1","1","3","0","0","1","1","0","0","0","0","0","yes"
"1","4.0.0","ServerConfiguration.java","getJournalDirName","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","4.0.0","ServerConfiguration.java","getOpenFileLimit","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","ServerConfiguration.java","getDeathWatchInterval","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","AbstractZkLedgerManager.java","asyncProcessLedgersInSingleNode","1","1","22","0","1","1","0","0","0","0","0","0","no"
"1","4.0.0","LedgerLayout.java","getManagerVersion","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","LedgerLayout.java","getManagerType","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","BookieServer.java","(initializer 1)","0","0","4","0","0","1","0","0","0","0","0","0","no"
"1","4.0.0","BookieServer.java","isNioServerRunning","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","4.0.0","BookieServer.java","isRunning","2","2","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","BookieServer.java","isBookieRunning","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","4.0.0","BookkeeperInternalCallbacks.java","tick","1","1","10","1","0","3","0","0","1","2","0","0","no"
"1","4.0.0","LedgerInputStream.java","close","1","1","2","0","0","1","0","0","0","0","0","0","no"
"1","4.0.0","LedgerOutputStream.java","close","1","1","3","0","1","1","0","0","0","0","0","0","no"
"1","4.0.0","HedwigClient.java","getSubscriber","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","HedwigClient.java","getPublisher","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","HedwigClient.java","close","1","1","3","0","0","1","0","0","0","0","0","0","no"
"1","4.0.0","TopicSubscriber.java","getTopic","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","TopicSubscriber.java","hashCode","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","TopicSubscriber.java","getSubscriberId","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","PubSubCallback.java","getFailureException","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","SubscribeResponseHandler.java","getMessageHandler","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","SubscribeResponseHandler.java","getOrigSubData","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","HedwigClientImpl.java","getClientTimer","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","HedwigClientImpl.java","getSslFactory","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","ResponseHandler.java","getClient","2","2","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","SslClientContextFactory.java","isClient","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","AbstractConfiguration.java","getConf","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","CallbackUtils.java","curry","1","1","11","0","0","1","1","0","0","0","0","0","no"
"1","4.0.0","CallbackUtils.java","nop","1","1","3","1","0","1","1","0","0","0","0","0","no"
