#,Version,fileName,methodName,nAuth,methodHistories,loc,fain,fanout,wmc,returns,loops,comparison,maxNested,math,smells,buggy
"1","0.9.6","JDBCConfigurationImpl.java","getResultSetType","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","JDBCConfigurationImpl.java","getSchemas","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","JDBCConfigurationImpl.java","getSchema","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","JDBCConfigurationImpl.java","getFetchDirection","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","JDBCConfigurationImpl.java","getSubclassFetchMode","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","JDBCConfigurationImpl.java","getLRSSize","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","JDBCConfigurationImpl.java","getSynchronizeMappings","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","JDBCConfigurationImpl.java","getTransactionIsolation","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","JDBCConfigurationImpl.java","getEagerFetchMode","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","CompareEqualExpression.java","isDirectComparison","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","0.9.6","CurrentDate.java","getType","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","GetColumn.java","getTag","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","JDBCExpressionFactory.java","getNull","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","JDBCExpressionFactory.java","getSelectConstructor","1","1","3","0","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Param.java","getType","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","0.9.6","Param.java","getName","1","1","3","1","0","1","1","0","0","0","0","0","no"
"1","0.9.6","SQLEmbed.java","getTag","1","1","3","0","0","1","1","0","0","0","0","0","no"
